T:194|TOM subgroup #194 order 12|2|1,2,1,2,3,3,4,4,5,5,1,2,3,3,4,4,2,2,6,7,7,8,8,6,5,3,3,4,4,2,7,7,8,8,6,9,10,11,7,11,10,7,12,8,8
T:195|TOM subgroup #195 order 12|2|1,2,3,4,1,5,3,4,2,6,1,7,8,7,1,7,6,2,9,6,9,2,9,10,5,1,4,3,4,2,7,11,4,11,9,7,1,7,6,4,11,9,5,2,9
T:196|TOM subgroup #196 order 12|2|1,1,2,2,3,2,3,1,4,5,6,7,8,7,8,5,1,7,6,8,7,8,5,1,9,10,9,10,7,2,10,9,10,7,2,10,11,8,3,10,6,2,8,3,1
T:198|TOM subgroup #198 order 12|2|1,2,2,1,2,3,3,2,4,2,2,1,3,2,2,3,4,5,3,6,6,7,7,8,3,7,7,6,6,8,2,2,2,2,4,7,6,5,8,5,6,8,7,8,8
T:199|TOM subgroup #199 order 12|0|1,2,1,3,4,4,4,4,5,5,1,2,4,4,4,4,3,3,6,7,7,7,7,6,5,4,4,4,4,2,7,7,7,7,6,8,9,10,7,10,9,7,8,7,7
T:204|TOM subgroup #204 order 12|0|1,2,3,4,1,5,5,6,3,7,1,7,8,9,9,7,1,6,10,7,11,11,10,4,2,1,5,5,4,3,7,11,11,10,6,9,9,7,1,12,11,5,11,5,2
T:205|TOM subgroup #205 order 12|0|1,2,3,2,4,5,6,2,7,2,3,2,5,4,6,2,7,8,9,2,2,8,9,10,8,6,6,11,8,12,2,2,8,9,10,1,3,2,7,3,2,7,8,12,10
T:206|TOM subgroup #206 order 12|0|1,2,3,4,3,4,1,2,5,2,5,4,3,4,1,2,3,4,6,4,7,2,8,4,2,1,2,3,4,1,2,8,4,7,2,2,5,4,1,4,6,2,2,3,4
T:207|TOM subgroup #207 order 12|0|1,2,3,3,2,1,4,4,5,5,3,3,2,1,4,4,2,3,3,1,2,4,4,1,6,3,3,7,7,3,3,3,7,7,3,5,4,4,1,4,4,2,8,4,4
T:208|TOM subgroup #208 order 12|0|1,2,3,4,3,4,1,2,5,2,5,4,3,4,1,2,3,2,6,2,7,2,8,2,4,1,4,3,2,1,4,9,4,7,4,4,5,2,1,4,6,4,2,3,2
T:209|TOM subgroup #209 order 12|0|1,2,3,4,5,6,6,2,3,7,5,5,8,1,1,7,5,2,2,7,2,2,9,2,6,1,3,4,2,6,1,3,3,2,6,5,5,7,1,6,2,4,2,3,2
T:210|TOM subgroup #210 order 12|0|1,2,3,4,3,2,5,5,6,1,1,1,1,1,7,7,8,2,3,4,3,5,5,6,2,3,4,5,5,6,2,3,5,5,6,2,5,5,6,5,5,6,9,10,10
T:212|TOM subgroup #212 order 12|0|1,2,1,3,3,1,4,1,5,6,7,1,1,8,6,8,6,6,5,4,6,9,6,9,1,1,8,6,8,6,3,1,2,1,4,1,5,1,2,6,7,6,6,9,6
T:213|TOM subgroup #213 order 12|0|1,2,3,1,4,1,3,5,6,7,1,8,1,8,1,7,9,5,7,2,7,5,10,11,1,3,1,4,2,6,1,8,1,7,9,1,3,5,6,1,7,9,2,6,11
T:214|TOM subgroup #214 order 12|0|1,2,3,4,1,4,3,2,5,6,2,1,7,1,2,6,2,1,2,6,2,1,7,1,5,2,3,4,1,4,1,4,3,2,3,1,2,6,2,5,2,3,1,4,1
T:216|TOM subgroup #216 order 12|0|1,2,1,3,4,4,5,5,6,6,1,2,4,4,5,5,3,3,1,5,5,4,4,1,6,4,4,5,5,2,5,5,4,4,1,7,8,8,5,8,8,5,7,4,4
T:217|TOM subgroup #217 order 12|0|1,1,2,2,3,3,3,3,4,1,4,2,3,3,3,3,2,2,4,3,3,3,3,2,5,6,6,6,6,5,6,6,6,6,5,7,8,7,6,7,8,6,7,6,6
T:218|TOM subgroup #218 order 12|0|1,2,2,3,1,2,2,3,4,2,2,3,1,2,2,3,4,5,6,2,7,7,8,9,6,2,7,7,8,9,3,8,8,10,11,2,2,3,4,5,6,9,6,9,11
T:219|TOM subgroup #219 order 14|0|1,2,3,4,1,5,2,5,6,2,3,4,5,1,5,2,6,3,4,5,5,1,1,6,7,3,3,3,3,8,4,4,4,4,9,2,2,1,6,1,2,6,5,6,6
T:220|TOM subgroup #220 order 14|0|1,2,3,1,4,4,3,5,2,2,3,4,2,1,3,5,4,3,4,1,4,3,5,1,3,3,3,6,7,3,1,2,3,5,2,2,3,5,4,3,5,1,7,3,5
T:221|TOM subgroup #221 order 14|0|1,1,2,3,4,4,3,2,5,6,1,1,1,1,1,1,7,1,1,1,1,1,1,7,2,3,4,4,3,5,2,3,4,4,5,2,3,4,5,2,3,5,2,5,5
T:222|TOM subgroup #222 order 15|0|1,2,3,4,5,2,4,3,2,6,1,1,7,6,1,1,6,2,2,8,9,2,2,9,3,5,2,4,4,2,5,2,3,4,2,8,5,5,8,2,2,9,3,2,2
T:227|TOM subgroup #227 order 16|P2|1,2,3,4,5,6,7,6,8,5,8,7,2,6,4,6,3,7,8,1,6,3,6,4,5,4,6,2,6,1,3,6,1,6,2,6,8,6,7,6,9,6,6,5,6
T:228|TOM subgroup #228 order 16|P2|1,1,1,1,2,3,4,5,6,7,8,9,10,1,1,1,11,9,8,10,1,1,1,11,7,10,1,1,1,11,10,1,1,1,11,2,2,2,12,5,4,6,3,6,6
T:229|TOM subgroup #229 order 16|P2|1,1,2,2,3,3,3,3,4,5,6,6,7,7,7,7,1,6,6,7,7,7,7,1,8,9,9,9,9,2,9,9,9,9,2,10,11,12,3,12,11,3,10,3,3
T:230|TOM subgroup #230 order 16|P2|1,2,1,2,3,3,3,3,4,5,6,5,7,7,7,7,1,5,8,9,9,9,9,2,5,7,7,7,7,1,9,9,9,9,2,10,11,12,3,12,11,3,10,3,3
T:233|TOM subgroup #233 order 16|P2|1,2,3,2,4,5,4,5,6,2,6,2,4,5,4,5,3,2,7,8,9,8,9,2,2,4,5,4,5,1,8,9,8,9,2,10,11,10,4,10,12,5,10,4,5
T:236|TOM subgroup #236 order 16|P2|1,2,1,2,3,3,3,3,4,5,6,7,8,8,8,8,2,7,6,8,8,8,8,1,5,8,8,8,8,2,8,8,8,8,1,9,10,11,3,11,10,3,9,3,3
T:237|TOM subgroup #237 order 16|P2|1,2,3,2,4,4,4,4,5,2,5,2,4,4,4,4,3,2,6,7,7,7,7,2,2,4,4,4,4,1,7,7,7,7,2,8,9,10,4,10,9,4,8,4,4
T:238|TOM subgroup #238 order 16|P2|1,2,3,2,4,5,4,5,6,4,6,4,2,5,2,5,3,4,7,8,9,10,9,2,4,2,5,2,5,1,10,9,8,9,2,9,7,9,4,9,11,5,9,4,5
T:239|TOM subgroup #239 order 16|P2|1,2,1,2,3,4,3,4,5,3,5,3,2,4,2,4,1,3,5,1,4,1,4,2,3,2,4,2,4,1,1,4,1,4,2,4,5,4,3,4,6,4,4,3,4
T:240|TOM subgroup #240 order 16|P2|1,2,1,2,3,3,3,3,4,5,6,5,7,7,7,7,1,5,8,9,9,9,9,2,5,7,7,7,7,1,9,9,9,9,2,10,11,10,3,10,11,3,10,3,3
T:241|TOM subgroup #241 order 16|P2|1,1,2,2,3,3,3,3,4,5,6,6,7,7,7,7,1,6,6,7,7,7,7,1,8,9,9,9,9,2,9,9,9,9,2,10,11,11,3,11,11,3,10,3,3
T:242|TOM subgroup #242 order 16|P2|1,2,1,2,3,4,3,4,5,6,7,6,8,9,8,9,2,6,7,8,9,8,9,1,6,8,9,8,9,2,8,9,8,9,1,10,11,10,3,10,12,4,10,3,4
T:243|TOM subgroup #243 order 16|P2|1,2,1,2,2,3,2,3,4,5,6,5,5,7,5,7,1,5,8,9,10,9,10,2,5,5,7,5,7,1,9,10,9,10,2,10,8,10,2,10,11,3,10,2,3
T:244|TOM subgroup #244 order 16|P2|1,2,3,2,2,4,2,4,5,6,7,6,6,8,6,8,3,6,9,10,11,10,11,2,6,6,8,6,8,1,10,11,10,11,2,11,9,11,2,11,12,4,11,2,4
T:245|TOM subgroup #245 order 16|P2|1,2,2,2,2,3,4,5,6,7,7,7,7,1,1,1,8,9,10,9,2,2,2,11,9,10,2,2,2,11,9,2,2,2,11,2,2,2,11,5,4,6,3,6,6
T:246|TOM subgroup #246 order 16|P2|1,1,2,2,3,3,3,3,4,5,6,6,7,7,7,7,2,6,6,7,7,7,7,2,5,7,7,7,7,1,7,7,7,7,1,8,9,10,3,10,9,3,8,3,3
T:247|TOM subgroup #247 order 16|P2|1,2,1,2,3,4,3,4,5,3,5,3,2,4,2,4,1,3,6,7,8,7,8,2,3,2,4,2,4,1,7,8,7,8,2,8,6,8,3,8,9,4,8,3,4
T:248|TOM subgroup #248 order 16|P2|1,2,1,2,2,3,2,3,4,5,6,5,7,1,7,1,1,7,8,9,2,10,2,2,7,5,1,5,1,1,10,2,9,2,2,2,8,2,2,2,4,3,2,2,3
T:249|TOM subgroup #249 order 16|P2|1,2,1,2,3,3,3,3,4,2,4,2,3,3,3,3,1,2,5,6,6,6,6,2,2,3,3,3,3,1,6,6,6,6,2,7,8,9,3,9,8,3,7,3,3
T:250|TOM subgroup #250 order 16|P2|1,2,3,2,4,5,4,5,6,4,6,4,2,5,2,5,3,4,7,8,9,8,9,2,4,2,5,2,5,1,8,9,8,9,2,9,7,9,4,9,10,5,9,4,5
T:252|TOM subgroup #252 order 16|P2|1,2,3,2,4,5,4,5,6,4,6,4,2,5,2,5,3,4,6,1,5,3,5,2,4,2,5,2,5,1,3,5,1,5,2,5,6,5,4,5,7,5,5,4,5
